fromstn,tostn,fromhgt,tohgt,obstype,obsset,obsdate,value,error,calcval,residual,reserr,stdres
WAS3,WAN3,1.595,1.615,HA,110,2015-03-16 00:00:00,-0.000000,0.000980,-0.000598,0.000598,0.000685,0.8731
WAS3,WAW3,1.595,1.574,HA,110,2015-03-16 00:00:00,167.697650,0.000980,167.698248,-0.000598,0.000685,0.8731
WAS3,WAN3,1.595,1.615,SD,111,2015-03-16 00:00:00,88.960800,0.000190,88.960177,0.000623,0.000188,3.3143
WAS3,WAN3,1.595,1.615,ZD,112,2015-03-16 00:00:00,92.082930,0.000728,92.083620,-0.000690,0.000655,1.0538
WAS3,WAW3,1.595,1.574,SD,113,2015-03-16 00:00:00,83.114400,0.000190,83.114264,0.000136,0.000183,0.7462
WAS3,WAW3,1.595,1.574,ZD,114,2015-03-16 00:00:00,84.952620,0.000728,84.952479,0.000141,0.000663,0.2129
WAS3,WAN3,1.595,1.615,HA,115,2015-03-16 00:00:00,-0.000070,0.000980,-0.000618,0.000548,0.000685,0.8001
WAS3,WAW3,1.595,1.574,HA,115,2015-03-16 00:00:00,167.697680,0.000980,167.698228,-0.000548,0.000685,0.8001
WAW2,WAN3,1.595,1.615,SD,116,2015-03-16 00:00:00,188.363900,0.000190,188.363679,0.000221,0.000184,1.2007
WAW2,WAN3,1.595,1.615,ZD,117,2015-03-16 00:00:00,93.338970,0.000728,93.338767,0.000203,0.000705,0.2882
WAW2,WANW,1.595,1.68,SD,118,2015-03-16 00:00:00,45.616400,0.000190,45.616600,-0.000200,0.000181,1.1010
WAW2,WANW,1.595,1.68,ZD,119,2015-03-16 00:00:00,76.142640,0.000728,76.142956,-0.000316,0.000680,0.4643
WAW2,WAS3,1.595,1.597,SD,120,2015-03-16 00:00:00,100.295800,0.000190,100.296039,-0.000239,0.000185,1.2899
WAW2,WAS3,1.595,1.597,ZD,121,2015-03-16 00:00:00,94.422080,0.000728,94.421508,0.000572,0.000692,0.8266
WAW2,WAN3,1.595,1.615,HA,122,2015-03-16 00:00:00,0.000610,0.000980,0.000188,0.000422,0.000798,0.5286
WAW2,WANW,1.595,1.68,HA,122,2015-03-16 00:00:00,146.521760,0.000980,146.521785,-0.000025,0.000793,0.0314
WAW2,WAS3,1.595,1.597,HA,122,2015-03-16 00:00:00,354.859040,0.000980,354.859437,-0.000397,0.000796,0.4984
WAW2,WAN3,1.595,1.615,SD,123,2015-03-16 00:00:00,188.363900,0.000190,188.363679,0.000221,0.000184,1.2007
WAW2,WAN3,1.595,1.615,ZD,124,2015-03-16 00:00:00,93.338310,0.000728,93.338767,-0.000457,0.000705,0.6483
WAW2,WANW,1.595,1.68,SD,125,2015-03-16 00:00:00,45.616600,0.000190,45.616600,0.000000,0.000181,0.0020
WAW2,WANW,1.595,1.68,ZD,126,2015-03-16 00:00:00,76.142560,0.000728,76.142956,-0.000396,0.000680,0.5820
WAW2,WAS3,1.595,1.597,SD,127,2015-03-16 00:00:00,100.296100,0.000190,100.296039,0.000061,0.000185,0.3291
WAW2,WAS3,1.595,1.597,ZD,128,2015-03-16 00:00:00,94.422180,0.000728,94.421508,0.000672,0.000692,0.9711
WAW2,WAN3,1.595,1.615,HA,129,2015-03-16 00:00:00,0.001100,0.000980,0.000958,0.000142,0.000798,0.1777
WAW2,WANW,1.595,1.68,HA,129,2015-03-16 00:00:00,146.522370,0.000980,146.522555,-0.000185,0.000793,0.2333
WAW2,WAS3,1.595,1.597,HA,129,2015-03-16 00:00:00,354.860250,0.000980,354.860207,0.000043,0.000796,0.0542
WAW2,WAN3,1.595,1.615,SD,130,2015-03-16 00:00:00,188.363800,0.000190,188.363679,0.000121,0.000184,0.6586
WAW2,WAN3,1.595,1.615,ZD,131,2015-03-16 00:00:00,93.338210,0.000728,93.338767,-0.000557,0.000705,0.7901
WAW2,WANW,1.595,1.68,SD,132,2015-03-16 00:00:00,45.616600,0.000190,45.616600,0.000000,0.000181,0.0020
